,shop_comment
1971,"收到这个试用装，是第一次中奖。当天真的是非常开心。饭都吃了好多那张小纸条非常体贴，可以让每个闺蜜网的顾客都知道步骤。面膜用完脸还是比较滋润的。     面膜背后也写了详细的使用方法。               面膜拆开...,已提交报告，请注意查收之前发帖，谢谢...,不错，蛮好用...,舒缓敏感专家—蓝莲花静缓面膜，富含天然萃取蓝莲花精华，舒缓镇静，注入肌肤防御能力。环境污染加重、冬季室内外温差大、不当使用化妆品以及医美手术普及。大多数人都有肌肤敏感干燥的问题。蓝莲花天然抗生物质是现...,很开心能够获得试用权，这款面膜也非常好用，很服帖，精华液很多，用完脸上滑滑的，保湿效果也很好。...,感觉很水嫩，对皮肤没有那么强烈的刺激感，用完效果也非常不错，以后可以尝试使用...,好着急。交报告的最后时间就要到了。可还没有收到。...,克丽缇娜蓝莲花静缓面膜包装和复古又活泼，可爱新颖，让人第一眼看上就很喜欢。
气味如蓝莲花般清新，温和舒缓，将面膜敷在脸上，感觉很水润，能很好的贴合于面部，用后补水效果不错，吸收也不错。
感觉这款面膜更...,好幸运。这是第二次收到闺蜜网的产品。还没使用，不过看外观觉得很不错呢！...,快递不知道怎么回事，没收到面膜，很难过，第一次申请成功呢，联系客服没人理，哎，想要呢..."
1972,"只用这款...,推荐给大家...,我相信口碑...,很好用，我已经在用第二个，一直觉得适合的才是最好的！这款是最适合我的，喜欢，顶一个！...,让我拥有了完美无瑕的自然通透肤质，真的是爱死这款粉饼了。...,超细腻的粉质擦在脸上非常柔滑，能很完美的遮瑕，颜色自然，持妆时间长。...,咖啦咖啦完美无瑕粉饼是咖啦咖啦重点推出的彩妆，具有、等功效，营造容光焕发的健康妆容，同时不给皮肤带来负担。...,与其他的粉饼相比，一直都喜欢的质地，那种感觉，几乎没有任何妆感，给人一种天生就有的好气色感觉。这款使用起来也非常的方便。...,在网上看到这款款式很漂亮，就买了回来，试用下还挺好用的，妆容很自然，持久，不易脱妆，而且还能遮瑕...,同事在用的，她用了感觉非常不错，觉得可以用来代替裸妆。盒子非常漂亮，关键是上去后很细腻，很透明，没有厚重的感觉，淡淡的妆容，马上再去买个自己用，我皮肤较白用自然色刚好，可以调节我稍稍偏黄的肤色却又不至..."
1973,"镇静舒缓来说确实还可以，但是我觉得整体还是有些不够滋润。面膜片儿有些偏薄，水分不能完全的渗透到皮肤里。
当然了这个跟个人的肤质很有关系，希望以后能出加强版。...,超棒！不管是舒缓还是保湿都超棒，我是易敏感肌肤，用着超赞！...,保湿补水专家—克丽缇娜鲁冰花保湿面膜，富含天然萃取鲁冰花成分，平整肌肤角质层，肌肤保持水嫩一整天。  适合肤质: 干性、中性及混合性肌肤 产品功效: 平衡油脂分泌、水嫩保湿、去角质、天然萃取鲁冰花成...,很荣幸获得这次的试用，包装很喜欢，挺服帖的，因为我的脸比较大，普通的面膜都贴不住，但是这款正好。精华液也很多，味道是花香味，很好闻的，保湿度也很好。...,感觉很水嫩，对皮肤没有那么强烈的刺激感，用完效果也非常不错，以后可以尝试使用，建议大家尝试使用一下，效果棒棒哒...,好着急，交报告的最后期限就要到了，可还没有收到。...,克丽缇娜鲁冰花保湿面膜包装复古又有点小可爱，非常欧美范，让人第一眼看上就很喜欢。
气味如花般清新，温和舒缓，将面膜敷在脸上，能很好的贴合于面部，精华液很足，滋养水润，敷完后用指腹轻轻按摩吸收，感觉补水...,大家新年好！Kennybaby今天给大家分享鲁冰花面膜的使用效果。
面膜正面设计复古，高逼格。背面也有贴心中午字幕。我很喜欢这款设计哦。面膜包装不好撕开，需要使用剪刀。
面膜原汁很多，多余的汁敷手和脖子也不错。面...,好幸运。这是第二次收到闺蜜网的体验产品。还没用上，不过面膜的外观看着很不错呢！...,没收到面膜，不知道怎么弄..."
1974,"挺好的...,挺好的...,发发一些正在使用的乳液护肤产品，小白鼠各种试用，总结最好的经验给大家。...,咖啦咖啦这个牌子的产品一直是我的最爱啦！我一直是它的忠实粉丝，多年来一直坚持购买使用，肌肤的状况真是保持的很好啊！都说世界上没有丑女人只有懒女人，当然，选对适合自己的品牌就显得尤为重要啦。...,没用过这么难用的...,白皙肌肤...,喜欢这个牌子的很多东东。...,再也不买了...,防护肌肤水分不流失...,力挺这款..."
1975,"灰常好...,挺好的...,这个不错的...,不会回购这款的...,护肤必不可少的宝贝，让你全身都滋润得不得了。...,想当年超爱用这款乳液，擦到脸上的感觉很清爽，一整天下来也不觉得干，很滋润，不像有些产品虽然保湿但是很油腻，这款乳液就不会，收缩毛孔的作用不小哦！...,真的是非常不错的一款乳液，质地非常好，水水润润的，而且一点都不油，保湿度没得说，我冬天用可以保持一整天的滋润。...,向大家推荐一款好用的（保湿美白 功效）产品，肌肤补水很重要！温度每升高一摄氏度，你的肌肤水分就有可能被蒸发10%！ 所以每天喝足够的水很重要，除了补充身体所需的水分之外，还能帮助新陈代谢。保湿永远是护肤的首...,说是乳液，但是用起来非常的滋润和保湿，本想夏天用的，结果因为太过滋润而暂时搁置，感觉秋天用效果都很不错。...,延展性很好，很滋润，保湿效果好。..."
1976," 白色的水不够足润却又不够清爽美白也没有   兰芝和科颜氏都还可以   不过兰芝价格涨价了   雪肌精用起来很清爽   美白要长久我也会坚持下去   还有就是我喜欢的另一款备受争议的水SK-II的神仙水精华露   很多人也是...,比较喜欢的产品之一，质地比较厚，但是不粘腻，水润感也提升不少。清爽度保湿效果很不错，主要是特清爽，一点都不油腻。...,剃须后修复滋润效果很好，温和不刺激，质地比较温和，吸收效果很好啊~...,朋友在用的一款，味道很好闻， 还带有吸油粉末， 实在是太超值了。感觉很不错，值得使用的一款。...,推荐给大家...,用起来还行...,哪能有一直在用啊，剃须后修复滋润效果很好，温和不刺激，质地比较温和，吸收效果很好啊，...,大家好才是真的好...,好东西...,向大家推荐一款平价又好用的杰士派须后爽肤水，性价比很高，效果绝对可以媲美大牌。..."
1977,"这个不错的...,很不错的底妆产品...,这是一款很赞的粉底，包装很漂亮，使用感觉也不错，重要的是能够起到的作用，而且颜色很好，用了之后很有精神的感觉。...,不会脱妆，挺好的...,质地很细腻，不错...,近期超爱的这个咖啦咖啦莹透焕彩粉底霜，质地细腻，又方便使用，搭配正流行的颜色，妆感光亮饱满！...,用完皮肤看起来很细腻...,常柔滑好用的粉底液，并且能遮盖皮肤的小瑕疵，让皮肤呈现最自然亮泽的美感，还带有15倍的防晒效果呢...颜色比较好，和肤色很相合，涂在脸上没有什么不自然的感觉...,与其他的粉底相比，一直都喜欢的质地，那种感觉，几乎没有任何妆感，给人一种天生就有的好气色感觉。这款使用起来也非常的方便。...,粉质还算服帖，不会阻塞毛孔，用在脸上还蛮好的，比较自然，没有妆感..."
1978,"这款是杰士派比较老款的发蜡 发蜡质地比较硬跟厚 本人头发属于是塌跟软 我评定发蜡好不好就看定型效果 这款定型效果一般 头发出油不是很厉害 所以还好 最主要也不贵...,我很喜欢...,
	用的水润的那款 比一般的喷雾好 没有很强的僵硬感 也不干


	定型效果不错 也比较持久


	缺点是味道实在不怎么好闻
...,香香的哦，很清新的感觉，不粘腻，又护发又能造型，值！...,在家里做头发必备的一款，一直都在用，值得推荐...,他们家的产品口碑都相当不错，同志们可以放心的用...,放弃了 没什么效果...,从头发能看出一个人的气质，打理好你的头发才有好运气哦！这款使用效果不错...,使用后头发柔润自然，不会觉得做作，强烈推荐...,差点意思..."
1979,"非常好...,非常棒的产品...,他们家的产品口碑都相当不错，同志们可以放心的用...,在家里做头发必备的一款，一直都在用，值得推荐...,从头发能看出一个人的气质，打理好你的头发才有好运气哦！这款使用效果不错...,凑合，感觉不错...,很不错，做出来的造型维持蛮久的，而且看着也不会很干的样子...,坚持用也没效果...,爱这个宝贝...,没有腻腻的感觉.像我这种短发,不需要抹很多就可以很好的做造型..."
1980,"吸油能力很强 蓝膜...,和可伶可俐效果一样好，还比那个便宜，性价比很高。杰士派还有一个碳粉的，那个不好，一擦就掉粉末。...,还行吧...,听朋友介绍的...,目前用过的吸油纸里面能力最强大的一款，夏天油光满面有它就最好了。真的很喜欢！...,季节更替需更换衣物，而我们的肌肤也应该适时换季养护啦！换季很烦恼，各种皮肤问题也随之而来，杰士派吸油蓝膜天然、温和、无刺激，敏感肌肤的救星，换季必备单品。滋养修复各类型的肌肤，容易吸收且不油腻，让肌肤...,感觉超级好，一个礼拜就改变明显，最喜欢的就是这个牌子的面膜了。...,真的很神奇，可以每天使用。超级喜欢！...,一款可以让人变白的面膜。 这款面膜的美白效果还是比较赞的，如果想短期美白，可以做一下密集护理。尤其是有约会的女生，如果想光彩照人，这款面膜还算是比较首选了。...,杰士派这个牌子的产品一直是我的最爱啦！我一直是它的忠实粉丝，多年来一直坚持购买使用，肌肤的状况真是保持的很好啊！都说世界上没有丑女人只有懒女人，当然，选对适合自己的品牌就显得尤为重要啦。..."
1982,"这是一款男士的造型产品，虽然价格不算高，但是效果还行，用完之后定型效果还是不错的，味道也挺清新，头发细软或者是需要造型的孩子可以尝试一下，不过别用太多...,定性的时候不是很强，搽上之后头发油的一塌糊涂，跟上了猪油似的，很不自然...,头发用完之后有种没洗干净的效果- - 而且定型力真的不太好 是太软的缘故...,就是很厚很油，黏腻啊，发蜡都是这样啦大多，不喜欢这种感觉，定型效果一般。...,我最爱的发蜡，比UNO什么的好用130条街啊 一盒可以用好久，那些说不好用的应该是自己不会用吧？...,因为是哑光才买的 结果涂上去头发很油很厚重 明显擦了发蜡 而且定型效果不强...,用起来感觉不错的，造型效果挺好很持久...,香香的哦，很清新的感觉，不粘腻，又护发又能造型，值！...,能很好造型，产品的香气也是我喜欢的类型，不粘腻的感觉也是很满意的！...,保持头发弹性，持久滋润，效果还不错。..."
1983,"给老公买的，他用着还可以，但是我就觉得可能不太适合长发...,昨儿收拾的时候翻出来了这个...我的是蓝色的,就点评在这吧 貌似...是我大一的时候买的?? 那就已经有好几年了...果不其然,看日期3月6就过期了... 索性扔了,好像我就没用过几次 我只知道在手掌中搓热,抓头发 但是,我觉...,用的是紫色的那款，还不错，造型能力蛮强的，不过之后还要再喷定型水效果会更好一点，记得用完盖子一定要盖上，不然就会干掉用不了了...,用起来还行...,效果可能是市面产品上比较好的了
但自己还不是很满意咯咯咯~~~...,只能让头发稍微蓬松一点，但感觉支撑力不够，现在用的是V&G。感觉不错，是我想要的那种~~...,使用后头发柔润自然，不会觉得做作，强烈推荐...,从头发能看出一个人的气质，打理好你的头发才有好运气哦！这款使用效果不错...,很不错，做出来的造型维持蛮久的，而且看着也不会很干的样子...,只能让头发稍微蓬松一点，但感觉支撑力不够，现在用的是V&G。感觉不错，是我想要的那种~~..."
1984,"灰常好...,顶这款...,没那么好用...,很不错的底妆产品...,还行 可以尝试...,先用着，不会再买...,还可以，一般...,质地很细，擦上去后会显得皮分一下子透亮了起来 ，保湿效果比较明显，还挺水润的，冬季用在脸上不会脱皮...,妆前做好打底保湿工作，上这个粉不会觉得干，而且也不容易脱妆，其实早上上妆，到下午看上去会更自然，最喜欢的是他的遮瑕效果，真的是很棒！...,真的很好用，很好推开，遮瑕效果不错又能提亮肤色..."
1986,"用起来还行...,就用这个一直都是...,爱这款...,其实使用感还蛮好的。润润的，挺保湿的。不过眼霜的功效我是不知道能有多少期望值。每天拍在眼周。...,好...,很棒的产品，推荐...,保濕還可以,去除黑眼圈 消眼袋根本沒在我臉上提現出來...算是基礎保養...,没啥作用...,这是曾经的第一款眼霜。。那个时候什么都不懂。。只知道是男生用的。。味道还不错。。很稀薄的凝露状。。涂上很舒服。。对于眼部没有任何肌肤问题的人作为基础保湿还算OK。。至于黑眼圈与问题肌肤。。想都表想。。...,没有必要再买第二支了，没有什么效果，擦上后有点保湿的作用剩下的就是味道淡淡的，用了一支了，也没有见到有什么效果，有点小油性！..."
1987,"很赞...,用了很惊喜...,一直在用这款...,挺好的...,我很喜欢...,我很喜欢...,大爱啊...,听说不错买来试试，一般般吧...,一整套都很喜欢，洁面霜很不错，泡沫细腻绵密，清洁力对于干皮来说刚刚好，净润。打算明年入个大瓶用。...,最近正在使用俊士旅行三件套(Q版)，特喜欢俊士家族护肤品，每一款都很有针对性，特别给力。非常适合25岁左右及40岁以下的女性使用。..."
1988,"补水保湿，清爽不油腻，吸收速度非常快，整个脸部肌肤变得饱满有弹性，原本粗糙的肌肤变得柔滑细腻，摸起来饱满有弹性，而且肤色也提亮了，肌肤变得水嫩的同时变得细腻幼滑，肤色白皙细滑了。...,这款用起来还不错，就是味道有点浓，酒精味，感觉皮肤敏感的朋友就不要用了，会刺激的。不过用起来还可以，时间长了，脸部也没有什么油，补水效果还行吧...,听朋友介绍入手了这款爽肤水给男朋友，但感觉酒精味太浓烈的。而且补水等主要效果相当一般。不推荐...,用了之后干爽不油腻，还活力四射的,保湿不错，味道也挺好闻。就是感觉一般。无功无过......,这款爽肤水总体来说是挺好用的，也值得推荐一下啦~没有什么色素和香精的添加，闻不到什么气味，感觉挺简单舒服的~....,这款爽肤水 究竟味道过浓 瓶盖打开 就会味道
用在脸上非常凉 控油还可以 有点干...,买的时候送了两小样...最近开了用.
酒精味太重了吧...但是用了也没有什么不良反应...
适合那种要效果不要感受的人用吧....,记得刚开始使用护肤品就是用JS的全套,姐姐送的.那时候还不懂什么叫效果好.持续用了一年之后换了欧莱雅MEN套装,薇姿MEN,然后是倩碧,兰芝MEN到现在的SHISEIDO MEN. 慢慢回想起来,这款水上脸的感觉还是不错的,很清爽不闷...,买隔离防晒送的小样,用了一次就不敢再用,一打开,一股浓郁的酒精味差点把我熏晕,里面的粉末我也怕会堵毛孔,痘皮的悲哀啊...,这个真的很好唉，看到人家说有酒精，男人的皮肤就是要酒精来杀菌和收缩毛孔的。
这个配合俊士的乳液，皮肤真的好了不少，并且不觉得油腻，当然只是冬天。
现在夏天换了美伊娜多缔凡的美肌系列。..."
1989,"当时在专柜随手买的洁面，用过之后真的很惊艳，保湿和柔肤的效果和兰蔻洁面慕斯有得一拼（用过柔肤效果最好的洁面就是兰蔻了。。。我太孤陋寡闻了）...,yo用的男朋友的啊 觉得很好啊 洗完很清凉啊 可能清洁力比较强吧...,从朋友的美容店拿的小样给男朋友的，感觉味道还是蛮清新的，膏体很稠，里面带有细腻的磨砂颗粒。起泡很容易，适合混合肌肤的男生使用~~~整体来说还不错...,这个已经换包装了，现在找不到这么好用的洗面奶了，我N年前在兰州的时候，见一哥们用的这个，当时我满脸的痘痘，用了之后果然很好用，微微的磨砂效果，洗完脸很舒服很透气。可惜，现在的包装很怪异，不喜欢。...,给老爸买的~他说好用~~~给老爸买的~他说好用~~~给老爸买的~他说好用~~~给老爸买的~他说好用~~~...,这款是磨砂的，我用了一次脸就红了，一共才用了五次就送人，个人肤质问题吧。...,味道挺喜欢的，外型也比较给力了，感觉有点像DIOR HOMME的那款洁面的外型。清洁力度很好，美中不足的是洗完之后脸涩涩的，虽然好多哥们儿们觉得这样是说明洗的干净，但是如果能够又干净又平滑就更好了呀！滑滑净净的...,用量省，细小的磨砂，清凉，夏天用很爽，泡沫丰富，味道个人不喜爱， 

值得购买。...,很细小的磨砂，冰冰凉凉的，作为早上醒肤产品还是不错的，感觉对浮肿有一点功效，泡沫还算是丰富，管口很容易挤出这很不错，所以我经常偷用嘿...,买给老公的，老公的皮肤是混合型偏干，这款洗面奶洗后皮肤不紧绷，滑滑的，最主要他觉得气味还好，不是很香的那种！配合乳液使用，保湿性好，皮肤不会起皮！..."
1990,"很好推开哦，白的很自然，不会死灰白那样啊，而且比较湿润，不会起皮哦，均匀肤色，味道也可以接受，价位也很平价哦，黄皮肤或者皮肤有点暗沉的人用，能让皮肤白一点，但它的持继时间不长，我不化妆的时候都是直接涂...,来看看它的遮瑕效果，我挤了点粉底液来遮手背上的字母,可以看到遮瑕效果还不错，虽然不能完全遮盖住,不过还算可以,不然遮瑕膏就无用武之地了。 来看看它好不好清洗，我在手背上倒了点洗面奶，然后拿来清洗手背，可以...,顶这款...,非常好...,挺好的...,买洗面奶是BA送的小样，我自己用了，感觉有点油，还有一点凉飕飕的...,质地有点粉末感的隔离霜，但抹在脸上感觉还是十分清透的，不会像有的隔离霜十分厚重。
里面还有薄荷醇，用了感觉脸上凉凉的，不知道有没有刺激~
润色效果也不错，用过后肤色看起来更精神……

算是蛮喜欢的一款隔...,杰杰推荐的啦~~这几天太阳好的不得了，所以就买了这款~有钱咱也换兰蔻的。说说感觉吧，刚涂上去的时候还可以，我是很容易出汗的人，一热就出汗，然后脸就油了。这款防晒霜一开始还可以了，到中午稍许有点出油了。这个...,用了很惊喜...,用起来还行..."
1992,"别人嫌弃有酒精用了一次就送我了 酒精肯定有而且很明显 味道跟用在皮肤上都有感觉 但是刺激性不大 啫喱状的质地大概因为有酒精很容易被皮肤给吸收 不过很奇怪我用这款啫喱霜 爆出来的痘痘第二天回消下去或者没有 但是...,水水的，吸收很快，也不油腻；个人感觉很喜欢。尤其过敏的时候，摆脱掉挥发快速的肌肤水，用它适量的充盈一下，感觉挺舒服的。...,保湿效果有一点，但是持续时间很短，但是我用着那一段时间痘痘长的比较多，不知道是不是这个原因...,没什么效果，真的，不会考虑在买。刚涂在脸上有点粘粘的感觉，保湿效果不持久。味道还是很喜欢。...,夏天买的 用着很清爽 不油腻 刚涂上去很保湿 很水 很嫩 但是啫喱持续时间不长 似乎除了暂时性补水没啥特别的作用...,我是在夏天使用的，感觉非常的清爽，一点也不油腻，保湿效果也还不错。关键是150ml才100，性价比非常的高！值得购买！...,不知道是买到了假的还是怎样~~感觉润是挺润，就是水了点~~保湿力不是很强，比较轻薄的产品~~男朋友挺喜欢它的香味的，而且倒过来的话会有一个
／＼／＼
＼　　／
  ＼／
的气泡很好玩~~！...,刚涂在脸上黏黏的 不过等一会脸上就会滑滑的 效果不错 蛮喜欢的 第一次用这个牌子 价格不是很高 性价比不错 推荐使用...,用了4瓶了，属于必备品，在东北长春，春天秋天冬天都很干燥，在用霜之前用它补水效果很好，比GF补水凝露要好多了...,质地看着就很舒服，晶莹剔透的。
用在脸上很滋润，吸收很快，用量也不多。
用后很清爽，保湿效果不错，还不油。
我都是先拍两次水，精华，然后用这个，很不错。
我是秋天买的，夏天的效果还不知道，我的皮肤偏干..."
1993,"我要购买，在哪可以买到啊？？！！...,在哪可以买到...,他用了不太喜欢。。问题出在哪问了也是白问，31岁的男人真可怕还有怀旧情结，非要说Dreamtimes的k1乳液好，一直叨叨叨念念念_(:зゝ∠)_我只想说Dreamtimes的k1乳液真的那么好用那么让人怀念吗？...,554753118...,对他的印象就是淡淡的香味，保湿效果一般，用前要摇一摇，瓶子很好看...,这款面霜也是从官网寄过来的，当时是好几片来着，虽然是新产品，不过还是满大方的，这个颜色就区分开来了，目前为止赶脚也就是还是蛮舒服的一款，而且滋润度不错，其他的没啥了...,这款俊士保湿乳自从给老公买回家之后他就一直用，问他为什么不喜欢妮维雅的保湿乳，他说太油 ，没这款俊士搽的清爽，不黏腻，现在脸摸起来也没有以前那么干了...,最开始老爹说大宝不滋润了就给他买了欧莱雅，后来说欧莱雅也不够滋润，我遍找闺蜜网给他买了这款。 但他老人家觉得还是不够。。。无论如何，价钱算美丽，买的时候做活动，也划算...,适合晚上用，特别是秋冬季节，质地有些厚重，幸好比较容易吸收，滋润度也不错...,润肤露比起高夫的经典润肤露，好很多，不是很油，而且用完之后，很滋润。当然，我用完之后还用了高夫的锐智焕肤霜。总体很不错。就是很难倒出来……..."
1998,"推荐给大家...,我相信口碑...,真的超好用！超赞，强烈推荐！最爱她家的东东啦，好可爱。这个我用的是樱花粉的，好，有一点调整唇色的作用，喜欢。她家的东东好像很少女的样子，都好可爱哦...,我是敏感性肌肤，眼部又是特别容易敏感的部位，在挑选眼部产品时需要更加的注意。 这款眼膜用起来很好，很适合我用。非常的温和，效果却尤其的好。...,性价比很低...,这款舒缓眼部疲劳效果很好啊，可以很好的去除眼袋，小细纹，抗氧化，香味比较好闻，我喜欢洗澡的时候用，先洗脸，涂好后开始洗身体，最后冲干净，效果没有太明显吧，属于无功无过，只能作为简单的补水用用，年轻的妹...,解决女性的眼纹、眼袋和黑眼圈三大眼部美容问题，消减眼纹、平复眼袋和起色黑眼圈，令眼部肌肤紧致细滑...,敷上后冰凉舒适感蔓延开来，眼部的疲劳感慢慢被驱散，感觉眼部皮肤很开心地大口汲取眼膜中的养分，每次用完眼部肌肤就像获得新生一般娇嫩明亮。 感觉好好哦。...,很好用，很值得的一款眼膜。...,朋友送的..."
2001,"用欧雅泊思吧，大品牌，纯植物成分不刺激，试一下就能感觉到，我 眼上的眼袋就是用这个好的...,看广告吹得天花乱坠，加上专卖店老板极力推荐，于是就买了，一点效果都没有。但其它眼膜也没有什么效果。...,妈妈一直买的，保湿效果很好啊，滋润眼周肌肤，面膜的材质比较服帖很贴合眼周肌肤，保湿很好啊，...,一直在用这款...,跟风买的...,还可以的...,效果好的超出我的想象！...,促进眼部微血管循环即刻激活衰老细胞的活性...,推荐给大家...,效果比较慢，需要一段时间才能感觉到，对希望你有些作用。..."
2002,"效果还不错，价格也实惠~滋润度蛮不错，坚持使用皮肤状态会很不错~对于经常敷面膜的我来说是个不错的选择...,图便宜果然没好货，用的没几回没觉得有啥效果，没有广告上说的那么好哦！感觉脸白了些。但是补水的效果一般。看来只是些普通的面膜，而且刚听说胶原蛋白根本外敷吸收不了。...,用了之后完全没有滋润的感觉，干干涩涩的。整个面膜一点也不透气，而且容易破，难用的要命。还特别刺激，一敷上，熏得眼睛都睁不开，眼泪直流。再买剁手啊！...,挺好的...,一点用也没有的东西，T区不服帖，根本没有电视里说的那种神奇功效，看了广告还挺动心的，朋友送了一片试了下，感慨幸好没有买。...,用的是ONLYLADY发的试用,感觉咣咣的!...,贴在眼睛上一直往下滑，非要躺在那里平平正正的做，躺的姿式稍歪一点儿都往下滑，吸收太慢，做完之后眼周干干的，还得补水。真是浪费，一点儿效果都没有...,就那样吧，一般...,液状质地，轻盈好推拭，能够创造出完全雾面，完美紧致的底妆效果。 看上去感觉不错，包装也挺特别的。以后想用用。...,这个价位的面膜这还还不错啦，效果一般，不过刚用完之后皮肤还是不错滴~精华很多，保湿还行 。..."
2003,"自从换了包装就大不如前了，之前的特别好用...,我姐买了就试了对，刚贴完惊讶啊，眼睛下面平平的，结果没几分钟又肿起来了，以为长期使用会有效果，一下子去黑眼圈去眼袋去细纹的都买了几盒，最后发现一点改善都没...,连续用过几贴，硅胶的吧，贴上去倒还挺新鲜，随着水分变煸干会变薄，但是眼纹依旧还在。...,真的，我用的时候也是抱着很大的期待，因为广告做的太~~~神奇了，可是它并没有真正的改善我的眼部问题。刚贴过之后确实是觉得有效果，但是5分钟之后就又回到从前了（我第一次用只贴在右眼上，就是为了看效果），随后...,完全没用啊，用完眼睛很干，也不会像广告那样会变薄，真不知道怎么卖出去的...,当时在电视中看到女明星代言的这个产品，就在网上买了试了一下，去眼纹什么的，没有看到效果。...,买过两盒来用，还送一个眼霜。透明的贴片，敷10几粉钟后变薄。敷了一段时间，感觉眼部肌肤真的没有那么干。之前的干纹也有减淡的迹象，对黑眼圈无效。精华液不多，有点小熏眼。...,万宁有活动时买的，有一次睡觉前敷，睡着了没拿下来，早上起来发现眼膜都被眼睛吸收了，感觉很神奇，看来可能真是胶原蛋白做的。但是感觉每次用完，眼睛变得明显了？...,广告吹得是天花乱坠的。结果买来一用，我的妈呀，熏眼睛刺激就不说了，完全尅有效果啊！一点都不保湿滋润，连点基本的补水效果都没有，还指望能去眼纹？！...,能驱除眼纹吧 但是不是很明显 不会在买了 啊啊啊哈 就是这样..."
2004," 用过很多只眼线液笔了 最喜欢的还是日系的极细 用过凡尔赛 kissme等等开架的日系眼线液笔 都觉得好好用 本来这次想用棕色的 奈何没有货了 这款眼线笔也是很多达人推荐的 说真的 很喜欢这种细细的眼线液笔 不晕染 也...,新版紫色包装，眼线液深棕色，比黑色自然，不凶。颜色不够浓，画出来有点空心，所以不会回购。..., 左颜右色璀璨魅惑眼线液笔暂发于此    眼睛是心灵的窗口。   眼线能衬得人越发精神。          净含量：2ml    左颜右色璀璨魅惑眼线液笔。   双眼无神，对视怎能来电？   一双灵动的大眼睛，才能惹男神怜...,黑色的眼线液笔颜色浓郁也比较好上色 就是时间长了眼头的眼线容易掉 得补妆 好在不晕~..., 手上这只好像已经是新款了，买的是棕色，很好上手应该新手也可以很容易驾驭。我自己用一般是拿来画眼尾，不容易晕染，蛮不错的。真要挑缺点感觉是不是干的很快，不过自己平时也很少画眼线，过段时间他就画不出来了，...,跟KISS ME的几乎没有什么区别 棕色的很自然 就是用到一个多月后出水不太流畅 所以不是很经用...,买的黑色的～用了一年居然还没干……蛮细的，就是到了下午会有点晕...,一定会回购的产品。...,笔尖细，持久，好画，尤其是化眼尾的好手...,怀着很大期望买的，可是第一次用就像没水一样，在日本药妆店买的。一点都不好用，颜色一块一块的，还会掉色。很难用，很失望..."
2005,"挺好的...,听朋友介绍的...,相信群众的眼光...,凑合，感觉不错...,这款唇彩超级好用，滋润度很好，味道也很好闻，估计会一直用。...,最喜欢的唇彩，完全无色限，上唇的效果非常棒！...,颜色很闪亮，而且非常滋润，可以保持大半天，即使没有卸妆，也不会感觉不舒服。...,很滋润，效果非常好啊，涂上去很诱人的感觉，十分喜欢。...,可东爱西的口红产品，从来都是我的第一选择。首选这款MINI闪钻唇彩也是有它的道理。这款口红手感非常好，颜色也很正，适合不同不同肤色的JMS...,挺女人的一款颜色，口红润润的，不会很干，很喜欢！..."
2008,"不得不爱啊...,我很喜欢...,很赞...,真的不好用，涂时间短搓不下东西，涂时间长了竟然过敏了。而且感觉搓下来的并不是死皮。长这么大，用护肤品只过敏过一次，这是第二次。...,赞一个...,一直在用这款...,季节更替需更换衣物，而我们的肌肤也应该适时换季养护啦！换季很烦恼，各种皮肤问题也随之而来，可东爱西奇异果新妍去角质果砂天然、温和、无刺激，敏感肌肤的救星，换季必备单品。滋养修复各类型的肌肤，容易吸收且...,质量还可以...,第一次接触可东爱西奇异果新妍去角质果砂，效果让我很满意，大家都知道护肤是一个循序渐进的过程，长期坚持才能看到效果。肌肤已经产生的问题不会擦了东西就立竿见影，只能慢慢改善，总体来说这款产品是非常值得试一...,发发一些正在使用的去角质护肤产品，小白鼠各种试用，总结最好的经验给大家。..."
2009,"推荐给大家...,一直在用，非常好...,这个不错的...,听朋友介绍的...,挺好的...,能快速改善肌肤干燥，暗哑情况，同时还能为肌肤保鲜。...,真的很好，周围的人都力挺的宝贝哦！...,延展性很好，很滋润，保湿效果好。...,说到面膜，大家肯定用过不少了吧。 现在的生活压力大，不少人常常为了工作或者其他的熬夜通宵。 这时候，最需要的就是一款可以补救的面膜。 睡眠面膜就是这时候需要的，在睡觉的时候敷上面膜，醒来后皮肤变得明亮水嫩...,就喜欢这个..."
